content,score
"Scheduling reminders don't work at all, which was the main thing I needed. It seems littered with superficial quizzes and motivations, many with spelling errors that cause me to doubt its validity.",2
I don't even subscribe this app for one year but they deducted my money from my account without my consent. I tried to request the refund but they denied it.,1
Hate it cannot figure out how to cancel subscription ive emailed several times . There is no menu icon on the page and 3 dots ? Why won't anyone email me back and cancel the sunscription ?,1
Good app but unfortunately ruined by way too much ads....,1
"Some feedback: 1. Sorting option to incomplete tasks first 2. Changeable Default settings to add say 15 daily tasks or 5 weekly tasks. All tasks default to one time, so is a pain adding multiple same cadence tasks together",5
Beware. This is not a free app. Please remove from the free section.,1
I'm sorry but I would give app five star but bug makes me so angry .when I am planning to do something bug came and I can't do anything so I'm leaving this app or please fix this,5
Not free but on the free list for whatever reason,1
Wasted 5 mins of my time doing the intro quiz for them to pop up the pay to use screen. Girl bye,1
"Do not like it at all. Led me to believe it's a planner, where you can easily set up weekly routines, make better habits etc... After sitting through their presentation, then paying my way through the pay wall... I spent 20 mins trying to figure out how the hell I can set up a plan for anything. Nothing makes sense on where it should be, and you have to create tasks for every individual day you plan to do them. Awful. Spend your money elsewhere.",1
"May deserve more than three stars but I decided within just a couple of days to cancel the subscription. It says that you get a seven free-day trial, but I was immediately billed as soon as I downloaded the app. After canceling the app. I still have not gotten a refund and it has been almost 7 days. And there appears to be no way to contact anyone to get my refund.",3
The worst app. It says making a schedule is a premium feature. Tries making you watch loong adds. It's not free. Why making one single schedule needs premium membership?,1
I don't like it is not free,1
good but I hate premium apps,4
Just a dumb app,1
This App. is a game changer! I am now equipped to handle the daily life stress. If you are one of those people who has a hard time starting/finishing projects; this app. is for you! My life is finally in order.,5
I'll edit my review if no ads annoyed me😊,4
"Not helpful at all. Actually I wast of time. You can just use Google calendar, which has more customised options than this app. I spent 2 hours planning yesterday, and today, there is none of the to-do list task. All disappeared. Then, it is trying to collect all my data for more than 700 vendor's, when I rejected it, I was not allowed in an app I paid for. I will be uninstalling",1
It's good but bad too,5
"3 minutes of onboarding hell, then a pay wall 🤣",1
Not free. They give a 7 day free trial. Then you have to pay for your plan. .,2
Just another useless app that is full of ads. Does not allow you to add 2nd task without switching to premium option. And keeps shoving the premium feature on your face even though you do not want it. Uninstalled immediately after the use of first 5 minutes,1
"Good idea and interface of the app but such an awful system 👎 the day before I put my tasks for the second day, and in the morning all the things I have put are gone 😓 and I should write them all from the beginning! To put one task you should watch an ad for 30 seconds if not more! And after you edit the task you should watch an ad again! Disgusting!",2
Very bad,1
i didn't expect that's best,5
very worst app 😒 😑,2
I have to pay and every time I try to delete it will almost make me pay this is one of the worst apps I have ever seen in my life if I could I would give it zero stars.,1
It's really helpful but it's inconvenient trying to fight with ads just for one quick reminder.,2
This app offered a 7 day free trial and then charged me $20 on sign up day 1. Features and templates are not very helpful. So disappointed.,1
"Using my watch for task reminders to avoid distractions from phone. In its current state the app does not work for me because 1. in contast to other apps I tried, notifications forwarded to my Garmin watch only show as ""ME+"" and not displaying the title of the tasks unless I click into them one by one. That implies I have no overview of my tasks on my watch. 2. Missing a Details field on tasks, and the title of max 50 chars is not enough for description of the task and would clutter overview.",2
This app is worthless for ADHD. It's too conceptual. Not intuitive. I've tried to cancel and get a refund. They are vulturing money from vulnerable people. I need a refund for this garbage.,1
"Some basic functions you expect won't work to like your tasks disappear and you will have to logout and login to get them back DAILY!!!. You sometimes cannot mark task completed, they do not have a proper downtime message the app just stop working. Not worth the purchase, just frustrating fancy ui but lacks functionality which is what customers look for to begin with.",1
my first task wz one that needs to be done urgently but not necessarily today coz I may not have time but I must choose a date? n also you kinda need to pay which sucks but it's not a lot,4
Useless. Waste of money.regret purchase.false advertising,1
you cannot use it as a planner. totally stupid to have to open several different apps to plan the day,1
It doesn't check my to do it is bad I will stick to my notes,1
The worst app and I want my money back. Nothing saves in this app. All the routines you make do not save and if you try to reorder them from top to bottom they just reset. Please give me money back. Absolutely terrible app. Big time scam.,1
Too many ads. It's annoying really not worth it.,1
You have to PAY?! I'm poor I can't I guess I am going to stay stressed because I am poor 😔.,1
"This could've been a cute app but even with the premium option you get an uncontrollable amount of pop-ups. It also constantly suggests BetterHelp which we all know is a scam and there's no way to turn off that suggestion. I bought an annual subscription upfront. Waste of my money, if you're another potential customer looking at my review just get another app like daylio or like. Your notes app.",1
"Another app making up bogus prices and ""discounts."" I've seen far better apps charging $15/year for various services. This disgusting, dishonest greed means I will never pay you.",1
"I never got past the very first part because of a major spelling error. If no one caught the typo pre-""frontat"", how much attention have they paid to the details of a plan that is supposed to change my life.",1
"Two many issues. Basic app functionality was broken for me. Honestly love the style of the app but basic things don't work, every time you open the app there is an ad, and worst you are paying $10 a month to get that ad. Why??? The app when you launch it ask you to rate it 5 stars, this at is not worth one.",1
"Te motiva a tener un horario y disciplina (que es lo principal de la app por lo que promete), es estéticamente lindo y no es complicado de usar. Además de que no es necesario pagar por ella para usarla, por lo que la hace más útil para quienes no están disponibles para pagar",5
Asks u a hundred meaningless questions before starting... Doesn't really matter what ur responses are and then asks u to pay.,2
"Horrible. Full of ads, can't set certain days when tasks start, can't see a calendar full of tasks. Asking for 5 stars when I haven't even been on the app a full 5 minutes. You're supposed to make things easier, all this app does is add confusion. Would never recommend not even to my worst enemy. Do yourself a favor and look up schedule templates and do it yourself. This app is garbage.",1
I just started. so ill let you know,5
Someone needs to call me how did $150 come out of my bank accout to you this is a scam,1
"Using the app less than a week, I make tasks that are daily and weekly with reminder. The reminder notify me late, and when I open the app, the tasks have disappeared for the day. I close the app and restart it, they still don't come back. I browse forward into the week and some tasks are there, and other have disappeared. I can't, in good faith, give this app more than 1 star until these issues get a permanent fix. I paid for a yearly subscription, and if there's no fix, I'm cancelling.",1
"I find it very hard to believe that the newcomer discount lasts for the two months that I've been using the app. Regardless, the developers really seem to want me to think so because every single time I open the app for the last two months, they've hit me with that ad at the beginning. It's common practice and common sense to opt out of this notification, especially when the option to buy is always available. It's infuriating and it needs to go.",1
"Routine tasks are randomly missing from days. How am I supposed to build a routine if pieces of the routine are missing? I asked on the developer's discord server and was told ""this is a feature still in development"" What? Recurrence for routine building app is still in development? Why did you release the app then? Why did you take my money as a subscription? I'm pretty mad that I paid for a year subscription that has such a broken, basic functionality!",1
"Me was really my bestfriend, It helped me so soooo much but after the update Iam really sad , it only works with wifi and sometimes I don't have,",1
"Two days in a row it has deleted my tasks on the day of. It shows that I have tasks tomorrow but come morning, all of my tasks are gone. Am I doing something wrong? Now I don't remember what I have to do today. Edit: they contacted me and it has been fixed",4
"Does not work properly, daily tasks seem to disappear randomly some days when they are set up properly and leave whole days blank or with missing tasks.",1
Still flooded with ads after yearly fee paid. Most function is same as other free routine trackers. Lack of function to choose between weekdays/weekend routines. No stats for each habit. How are tasks set to repeat everyday disappeared? I have to editted each task one by one for it to be repeated again. Isn't this a simple and important function to build new routine. Finally have to uninstall and cancel subscription. Why can't a simple function like daily checklist be done correctly?,1
It is motivational but there are way too many ads! And they force you to use a premium feature anytime you add a task and you have to watch an ad. It's so annoying!!,3
"ME+ WHAT THE HECK??????? I CAN ONLY ADD 2 TASKS DAILY THEN IT FORCES ME TO SUB?!?! UNINSTALLED IT, THE WORST APP EVER!!!!!!! >:(",1
"I spent a lot of time setting up tasks. I got notifications and the tasks showed on my widget but when I open the app, there are no tasks for the day. This happened for multiple days. I contacted support through the app but got no response. Thought I had a 7 day trial, but was charged for a year on day 1. Complete waste of time and money.",1
"I have no idea how this app has such a high rating, but it sucks at the main point of the app. All tasks I added to do every single day don't appear every day and are not consistent. The notification for the task appears, but the task is not there... From such a bigger company with more apps and developers, it sucks. A much better job could be done with more effort and thinking.",1
No alarms just silent notifications. I prefer alarm reminders,2
"App itself I found USELESS. When I tried to cancel membership within trial period, I wasn't able find it IN the app !!! You have to cancel it in play store. They charged me $43 for useless nonsense thing which only suck more of your precious time. Garbage !",1
"Every time I log a task in saving it as an everyday thing, and then the next day I wake up and I see either a task went missing or no tasks be there at all! I had to keep reinstalling it so my tasks doesnt get deleted! And when I do make a new task to replace the old one, THE OLD ONE COMES BACK, and this frustrates me. Im just wanting a routine planner for my ADHD so I can focus!",3
No kdea how this works for people without real issues that make things harder but this is useless for anything that isn't a motivational or organizational issue and the initial setting up makes no allowances for things like physical disability so I find it very hard to use.,3
Looks good but despite turning reminders on for each task I don't get any notifications at all and the app does not appear in my app notification settings. I assume they want you to pay in order to get the notifications which means the app is useless unless you pay.,2
"installed tried for 3 days but found it not helpful, so canceled and Uninstaller only to be charged for a year of the service.",1
"The app doesn't let you have a time period that ends between 12:00 noon and 1 PM, and the English localization is really bad.",1
So lame how they make you go through this long questionnaire and feed on your insecurities before telling you that you have to give them money,1
"my plans disappear, and I can't keep count of what I do or what I have to do. ads for everything, and if you watch 2 ads for a day of premium membership, it is useless, ads will keep showing up",1
ugh the app opens by making you click through 20 screens of useless personality quiz questions so they can sell you on a subscription. I don't know how any of the actual features work because I finally got through that quiz to see a 'claim your daily gift' gamification banner and was so annoyed I deleted the app immediately,1
"Very Negative Experience with this App. Beware!! Wish I'd seen the terrible reviews before I experienced it myself. Went for 7 day 'free' trial where you unfortunately have to provide your bank details. They claim they'll contact you before 7 days is up to remind you to cancel. I realised the App wasn't for me and I didn't use it. Sadly they didn't contact me, and I went and forgot to cancel/contact them. Charged £37.99 for something I don't want/use. Can't get refund. Even PayPal have tried!",1
"I like this app. It helps me a lot with remembering to stay productive and stay on a routine, but every time I try and make a new task it makes me watch a full 30 second ad and won't let me skip. It makes me really frustrated.",4
"I already use TickTick as a To Do list so I was looking at this to help build routine & stop procrastination... like the quiz asks when you start the app. This app doesn't do anything of the sort apart from constantly ask if I need a therapist. It's basically a to do list but without many creative options, with no reminders, and no stats on completions, etc. There is nothing here that addresses what I was looking. Sadly, it was a waste of $20. Really disappointing.",1
The English grammar is bad.,1
"Not impressed. Tried adding a routine and it froze. Then tried cancelling because I had JUST signed up and it did indeed cancel but it will not refund my money. Just won't renew in July of 2025. Grrrr. Also, many of the so called routines offered highlight tick-tock.....true waste of time.",2
"The supposort team seams very friendly at first, but when it came to ""actually"" get a refund, they postponed the issue frequently and i had to follow up the matter several times, only to get absolute no answer to my last email. It's a shame.",1
"Was charged for a year, policy says if cancelled within 24 hours a full refund will be issued. No way to contact developer. Scam app.",1
"Its a paid app which you understand after you wasted 10minutes with it. Disgusting, money hungry people",1
"I really hate how it was marketed as a helpful orangization app for people who struggle with structure. It's just Google calendar with more steps. It doesn't break down tasks, it doesn't make a big task into a bunch of small tasks, it just lets you schedule something and that is all",2
"Not worth the hype. I'm on the seven day trial of the app. The aesthetics are ugly, especially the kind of hyper-deformed people bodies. I'm sick of that drawing style. For starting with a test, it doesn't offer any customised plan, only some made-up routines to choose from. It's also full of ""day in the life of a TikTok influencer"" -this is not what I look for in a self improvement plan. I don't even have TikTok (trash content you don't need)",3
Fraudulent 7 day trial. It asked me to set up auto-pay for the trial and immediately the amount was deducted. I was thinking I'll make the purchase if it works out after the trial period. But do not feel like trying it at all due to the way the fraudulently charged the subscription amount,1
I didn't get a free trial. They charged me immediately.,1
it's good but I don't like how I have to pay bc like I'm a teen and I don't have money u know,3
"The app has potential, but I can't give 5 stars before the following issues are solved: (1) the app is constantly in a near crash state, I can notice that my phone stops working momentarily with only this app open; (2) the lack of interactive widgets is very disappointing. I cannot scroll through my tasks without opening the app nor can I mark a task as done. To finish, some other features I would like to see are: (1) enabling custom colors for tasks; (2) dark theme.",3
Why not you put your app in paid section its disgusting ...,1
Promises a 7 day free trial but charges you immediately. No way to test the app at all. Cancelling immediately does not result in payment being refunded. Predatory behavior - stay away.,1
This is a scam. They sell you on a personalized for you. Ask you a bunch of questions then get you to pay and never deliver the plan. Then ignore when you question this am ask for a refund. Shame on Google for even allowing this scam on the play store,1
"I just wasted my money. The app gives you nothing u need to plan everything on your own. The way they take the survey i thought they will make up a sorted plan for me, if i myself have to do everything whats the use of paying. Just regretted wasting my money.",1
"I cannot afford paying monthly for app to help my ADHD, depression and anxiety. That's ridiculous.",1
Not free you need to manually input im lazy,1
it's good but bad,4
"It costs money to do most things. I found it very confusing how to do multiple things such as make a schedule. The setup is long, but that was ok with me. I had this app for 30 days to try it out to see if it helped me but it just gave me more stress. I couldn't handle this app anymore when I reached the 10 day mark, but I kept pushing to see if it got any better and it just got worse. I would not recommend this app to anyone. This is one of the worst apps I've ever had. Do not get this app!!!!!",1
"I like the app, but it's annoying to have to turn off the add every single time I log it. why isn't there a 'don't ask again' or something because It seriously makes me want to avoid opening the app or just deleting it. I would also use it a lot more if the widgets didn't take up so much space. The widget itself isn't even always that big, but it stops me from putting apps in a space that looks empty.",3
Really usfel I was so lazy now I'm as fast as a bird,5
"scam app. do not bother notifications don't work, a BUNCH of typos, hardly any customization. total waste",1
Not helpful at all for me. Only added stress and annoyance at it's design. Not user friendly.,1
"It's totally different from the advertisement. Also, there is an immediate paywall, and it's impossible to cancel the subscription. I feel extremely disappointed and frustrated with this experience, and I definitely wouldn't recommend this app to anyone.",1
It's a really good app and helps me with a lot of stuff mostly I used to go to school late mostly everyday but after I install this app I have been there on time but the only problem is that u have to pay to do a lot odd things,4
Worst planner app which increases time waste,1
"Stop wasting time asking 20 questions and show the price FIRST. Total waste of my time, not everyone can afford £10 a month and end up feeling worse after getting hope from the questions only to find that the app can't help them.",1
"The structure for a decent app looks to be there. Too bad I can't experience it without getting ads just for tapping around. I always try out no premium for a few days before I do the trial for the app, but this is just a ridiculous amount of ads.",2
I really wanted to like this app and was confident it would've been very beneficial for me but unfortunately I am bombarded with excessive ads everytime i click something. It is absolutely absurd that i have to watch a full annoying ad just to add a task! You don't even give the new users a chance to test the app before pressuring them to buy premium. Uninstalled will find something way less stressful,2
"Don't really get it, I like lists and need them to get through the day but these lists are pointless and not particularly useful at all. I use the To Do List app which is free, very basic and easy. Shame I paid for the app before realising it wasn't really that great. Perhaps I'm missing something.",2
I have do t have to worry bout my lack of sleep .,5
Showed I would have a 7-Day trial period but I was charged for the year with no trial.,1
"Immediately deleted after first launch. Features a ""Personalisation"" quiz on first launch that, like on other apps featuring one almost identical to it, is rigged to make you seem like you're in some kind of dire need of their paid subscription. AUD$15.99 a month is initially advertised (with sales, of course) but there is no run down on what features the subscription actually gets you, and there have been many reports of people not being refunded, so that's discouraging.",1
This is not FREE!,1
"It gets two stars because it's pretty. But otherwise, immediate paywall and overall useless. This app was advertised as good for people with adhd and that is a lie... I had a good day of getting all my tasks in and then completed 1 or 2 days. Left the app for a week, wanted to come back because it's a waste of money if I don't use it. But then realized I can't delete a task... huge miss!! I set my schedule but sometimes that changes, and I can't remove one recurrence? Lame.",2
"App offered 7 day trial but when I downloaded, it charged me right away. I have had the app for 7 days and I find it is not very useful. So I am out $20 and cannot find anywhere to request a refund.",1
"They will say you have a seven day free trial and then charge you the same day! Liars! I was charged for a full year depsite being on a free trial. I read the terms of the trial which said I had to cancel 24hrs before the trial was up. I tried to cancel 96 hrs before my trial was up because the app was so bad. I set up reminders, and they work intermittently. Won't be using or recommending. #trash",1
"I really wouldn't recommend this app to anyone. firstly, at nearly every step they push you do download BetterHelp, which while I agree therapy is important, BetterHelp is a terrible app for what most people are looking for. secondly, I took a ""depression test"" and the art at the end looked like someone overdosing on pills while my result said ""moderately severe depression"". not exactly a good look. thirdly, they're obviously copying Fabulous. overall, it's a BS app, don't give them money.",1
This is horrible. It forced me to take a time wasting test that took at least 5 minutes AND THEN it asked me to pay for the app. This isnt meditating me. This is stressing me out even more. One star.,1
Not Best app not.install 🤮🤮🤮,1
"I paid $23 for your yearly subscription, and you still show me ads of your own apps that are extremely annoying. One is always on the bottom telling about ""gift"" where just your apps that I do not care about. Above is your other app that I also do not care about.",1
"This is not a free app. It takes you through loads of questions wasting your time before revealing it requires an annual subscription. I dislike that nothing on the app store or in the first page tells you this, it feels dishonest. If it's a paid subscription with a short free trial then tell me so and let me decide.",1
Worst aap,1
"Just downloaded it 10 minutes ago and deleting it now. Too many ads, and to make it worse, they are video ads that are 50 seconds long. Just going back to basic Google calendar. Waste of time, do not recommend!",1
"Not for me. I don't mind paying but I do all my work stuff on Google calendar and if I can't join the two up, there's no point in having two calendars.",1
"Good otherwise but very obnoxious. Every time I try to do anything, there's a pop-up.",3
The app asks you a series of questions before requiring you subscribe. I activated 7 day trial then on entering the app decided it wasn't for me. Went to Google subscriptions and unable to cancel. No website listed to cancel. Very suspicious. Luckily I used Revolut virtual card on sign up so have deleted the card,1
"The app is very good but the customer service is unacceptable. I was unable to find the ""..."" button to edit the past moods, so I sent an email to ask for help and they replied me to click on the ""..."" to edit the past moods, when I literally said that I can't find it. I asked again also sending pictures to them then I don't have any response for weeks now. I am so disappointed in the customer service team.",1
Charged me right away and did not give me a free trail. Planner was not what I wanted.,1
Few features only can access. Others that you need to pay. Dont like the bug like pushing you to buy the package.,1
Terribly money hungry,1
i would give 5 stars but there are so many popups and ads that make the user experience annoying,4
Don't know what it is but just don't like this app. Adverts are a constant. Can't find where I can silence app from making a check sound even when my phone is on silent. Just not user friendly app,2
Answered 50 questions just to find out it was a paid service what a waste of time!!!!!!,1
"This app is very frustrating. It is difficult to adjust and edit any task. And I have yet to find any way to delete a task once I've put it down. I also realized that there's no real way to look at your purchase, so if I want to cancel an automatic renewal I guess I'm just out of luck.",2
"I'm a terrible procrastinators! This app motivates me stay on task, and I do! 😊",5
bad,1
"It's not free, and don't have any free options. So if you don't wanna pay, don't install",2
Based on the reviews smh I'm disappointed,1
Bad,1
"I do not understand why everyone is rating this so high. There were so many forced pop-ups one after the other, I couldn't even try it to decide if I wanted to pay for it.",1
"Busco una app que me envíe notificaciones para recordar lo que debo hacer. Esta app no me notifica nada, en ese sentido no cumple con lo ofrece",1
"Bold move to have a self help app with broken English, useless templates and a partnership with the worst therapy adjacent company. I knew this app was trash",1
"I need to address this so future users can know in advance. It tells you there's a free trial of 7 days - but that's a lie. It charged my credit card instantly. The app itself is okay for seeing a to do list of what needs done etc but it takes forever to input everything, there's no default options except other's lists, and it doesn't send reminders like it should. I got charged $10 for something I could do on a piece of paper like usual. You also can't use it without paying first. Save your $$.",3
Bad,1
Poor. Too many annoying ads.,1
"I've spent an hour trying to figure out how to cancel this God-forsaken subscription. It's as if the transaction doesn't exist. I better. I better not be billed because there isn't accommodation in the app/online on how to edit or cancel my subscription. Did it even happen?? I better not be billed. I left a bad review, made a complaint. Reported the app for speculation of endangering users and the suspicious lack of customer support especially to cancel my subscription. No helpful response btw",1
Waste of money!! It is not as intuitive as advertising. Too complicated to use!! :(,1
"This app is simple and nothing special so for it to be something that you have to pay for to use is insane, it also said that you wouldn't have to pay until the 7 day free trial ended but I got charged immediately, really disappointing and I could do most of it from my notes app. I wish there was a feature where you could set a reminder that rolls onto the next day until you complete it instead of only getting the option to set it for today or everyday.",1
"Awful product, awful communication from the company. Would not recommend. Find an alternative product.",1
"Really disappointed this is not like the ads. I can't even get notifications to remind me of any tasks. Isn't that half the point of the app? To remind me to do these things? Edit.. I got the notification for an hour after I set it... Another edit: after a week or so of notifications at the wrong time, they started coming at the right time... Until about 5 days ago notifications stopped all together again. I would think for a paid app they'd have something so simple figured out.",1
"Doesn't help with motivation at all, too many ads. Why would you puta word limit for the mood tracker notes? Also why doesn't the tasks that are not done automaticly goes to the next day? There are times I want to smash my phone because of this goddamn app. Do NOT recommend at all. They also charged me for a whole year of subscription when I only wanted a 7 day free trial. I want a refund!",1
Horrible. Wouldn't suggest getting this app.,1
"Terrible! It said I had a 7-day free trial, but charged me immediately with no way to cancel! I really don't like the way the app is setup or its suggestions. Don't waste your time or money!",1
I saw this on tiktok and I wanted to try it out because I'm 8 years old and I've just been having problems my name is Amy I have a lot of friends but I just don't know what to do.😥😫🤕😖.I HATE IT.😭,5
"Just state up front that it is a paid (very expensive!) app instead of wasting people's time... Also, the English is very poor.",1
I had to answer all these stupid questions just to find out that I have to pay for the app.,1
"It was really interesting as it gathered all my information, excited about potential progress. I was stopped by a subscription paywall, that was deceptively leading me to sign up for a free trial that was really hard to navigate out of, because it isn't necessary to use the app!!! I was even fearful I had accidentally signed up, because I have no subscriptions to anything, checking app store. That's how I got here to find more people with the same experience but worse instances of being mislead.",1
Absolutely no mention of having a pay subscription service until you have entered all your information. Par for the course for apps these days but still disappointing.,1
"I deal with a lot of mental health stuff. and tasks, and keeping up my routine is a hard thing to do for me and I struggle very badly with it. and I am hoping this helps..",5
Scam. Tricks you into paying before you have the free trial. Can't share between phones. I accidently paid for this and just got a new phone and can't transfer it to my new phone. So I just wasted $20. Customer service ghosted me when I asked for a refund. Don't do it!,1
Needs a lot of work. I hate how money hungry it is. It's impossible to use it as a free app with how many adds you have to watch before adding a task. Some features of the app are useless too. What's the point of setting reminders if they're late? Would not recommend at all.,1
"It is a subscription app. And basically, it's just a to-do list you have to come up with on your own. Downloaded because I don't know how to be more productive. Was so disappointed after the supper long questionnaire before you find out you must pay",1
this helped me keep up with my schedule this is not the best but it is the best at the same time,5
"This app makes it hard to unsubscribe. I started a 7 day free trial & ME+ App has my debit card info. MY COMPLAINT IS THIS! THERE IS NO CLEAR WAY GIVEN TO 'UNSUBSCRIBE' OR 'CANCEL SUBSCRIPTION'!!! IF I TRY TO "" UNINSTALL"" THE APP SAYS THAT ACTION WILL NOT CANCEL ANY SUBSCRIPTION I HAVE. IT IS DISGUSTING & IT IS ROBBERY TO NOT MAKE IT VERY VERY EASY FOR AN UNHAPPY CUSTOMER TO CANCEL, UNSUBSCRIBE & BE FREE OF ANY OBLIGATIONS. I WROTE AN EMAIL ADDRESSING THIS.",1
Worst ever!,1
Waste of money for me. I cant use it. Its hard to concentrate on. Confusing.,1
"Reminders are late. About an hour, sometimes 40minutes. It takes forever to set up but there a few templates to help but they aren't actually that helpful. All the sounds and meditations just stop after maybe 5 minutes. Some don't even have sound when you click on them. If you miss a day tracking you mood it doesn't let you go back and add it. Somethings are locked even though you paid to use it. An absolute waste of money. I wish I read some reviews before downloading.",1
"Downloaded this app yesterday, disappointed as it doesn't actually remind you to do tasks. Set reminders on the task but nothing actually happens, can't find the settings section. Just overall not very easy to use.",2
Ok so there is no way that the 5 star reviews on here are legit! Like NO WAY! This is the most basic app and not worth a penny! It's simply a to do list and nothing else... I have roamed around the app trying to find if I am missing something but there's really nothing there! I contacted google and claimed a refund within 48hrs because the app was so bad. People need to be aware when purchasing apps that the app creators pay people to give good reviews.,1
The reminders I set would never pop up at the time I set them to so kind of defeated the purpose of the app,1
"Update: Reached out to customer support as advised, and they refunded me immediately! App looks pretty cool, but the trial instructions were kind of misleading, so I had to pay a year's subscription fee for just one day of use ):",5
"I quite like the UI of this, but it's a shame that it doesn't notify. I paid for the 1-year but likely will be asking for a refund unless the planner improves. 30/4 Update: App just stops working when you tick off a task. Genuinely such a shame that this is so buggy.",1
"Watch out they will charge you immediatly for a year subscription. They advertise as a ""7 day trial"" but at the difference with other apps that this one will not wait 7 day to start charging you. No refundable, not possibility to cancel it with google. Money gone. The app is really bad, no customer service, just a money maker for the dev. Avoid at all cost.",1
I am sure once you get through all the advertising and distractions this is probably a good app but as someone with ADHD I didn't even know where to start. So half way through the second add before even getting to try the actual planning I uninstalled. I know they need to make money but at least let me at least try and set things up before you start harassing about money and ads.,1
you have to pay it is infuriating,2
"I was charged 21.49!! 🤬😡 I do NOT have a subscription. Free trial, my #&$",1
I downloaded to try it. The subscription said free trial but they charged my card. I didn't like the app at all so I uninstalled and cancelled the subscription. Now I had to re installed because they had already charged me and my old profile isn't even popping back so what's the point? I lost money on this,1
"It's a great idea, but they make it very awkward and clunky to set up tasks, make them recurring, etc. It's not intuitive and requires so many clicks. They just asked me to rate it and I've barely gotten to use it at all (I hate when apps do that) so I'm not sure about much else yet, but we're only off to a mediocre start.",3
"Terrible app was marketed well I demand a refund since this app does nothing for me not user friendly. I am an android user and they are making it very difficult to refund my money I can't access apple, what a headache. Just put the money back on my card, they keep providing instructions that don't make sense",1
"I'm not clear why this app is so highly rated. I purchased it, but there's so much that was disappointing about it. It sends you through a typo filled, faulty PHQ9. You see all the cute, designed routine cards in the marketing pics, but can't make these. There's a very limited number available to import into your task lists. I thought you'd be able to use/make those, but they are just pictures representing the tasks that get pulled in individually, and mixed with all your other tasks.",1
"Charged right away for the yearly subscription, yes there is a deal but I want to try the app first. It isn't clear at all and misleading.",1
"I love this app, basically it's all in one, but I don't rate 5 stars because it lacks 1 important future, which is night mode. It's difficult to use this app at night because it hurts my eyes.",4
"I don't care if it's good at making lists. You can write things down or use a million other apps. Absolutely do not trust an app that recommends Better Help and tries to get you to pay them within a minute of opening the app with a ""time sensitive deal"". I don't know if it will be useful if I haven't even finished the quiz. No. No. No. No. Unethical nonsense.",1
"I want to cancel my subscription, but I can't find it where. They said go to Google app store press 3 horizontal lines. I don't have those horizontal lines. I CAN'T FIND WHERE TO CANCEL. I've emailed them, and all I got was automatic reply. I just want it canceled.",1
"I am disappointed. I have just taken pictures of each payment page, including the first which states AFTER a 7 day free trial, my card will be charged for my subscription, no payment due today, and the next page which asks which payment method I'd like to use, and the last which says my payment was declined. That is appalling, and I do hope you remove the OUTRIGHT LIES from the process of setting up an account, I'm going to uninstall and use a pen and paper like we did 20 years ago. Shame!",1
The grammar wasn't right and it makes it confusing as to what they are actually asking. Seeing that kind of mistake in the set up phase made me not want to go any further. Not an app I'd pay for.,2
No I hate it okay bye-bye,1
"The app is paid and nonetheless it's ad city. Littered with their own ads and sales. The UI is awful since it pushes their products to you. I can barely use it. The app asks you if you are easily distracted, I answered yes. Now I get peppered with pop-ups and messy UI. I can't focus enough to use this app since the UX draws your eyes to the ads abd there is no option to tuen it off. Such a shame, I'm sure that if it were useable there would be something to get out of it.",1
Worst app for Android it only lets to make ONE task and if you want to make more task you have to watch an ad for each one Such a disappointment.,1
"The capabilities aren't any better than most free apps out there. The onboarding flow is so bloated it takes forever to just see and start using the actual app between all the different nags. What's worse, the nag asking for a 5 star review only takes you to the play store if your rating is good, otherwise they'll just correct negative feedback privately and it skews the app reviews massively luring more users into it...",2
"Unfortunately as I had app with annual discount, 7 days trial is not applicable. If I would only read the reviews I would not buy it. Really regret it! The only use of the app is day to day tasks planning, apart of that is useless",1
I really wanted to love this app but notifications for planned reminders are not working even after restarting my phone. It's crucial to keep me on my routine and without those I have to remind myself to look at my phone constantly to see if I have a task coming which leads to the exact distraction and procrastination I'm trying to avoid in the first place. I didn't want to believe the other reviews and now I've wasted $20 on a year of service after I thought I was getting a 7 day trial first.,2
"No description and took my money when I signed up, no 7-Day free trial or anything. Thieves",1
Has helped me tremendously from someone who can never stay on task and suffer with ADH .,5
"You are forced into a trial that requires a form of payment for after the trial period ends, and then it immediately charges you. There was no period to try this app. This app is extremely scamming and predatory.",1
It's very colorful and cute. I like that you can import routines. But I don't get any notifications and that annoys me because I completely forgot about the app even when I have it at the center of my hotbar. I paid for and really wanted it to work. Sadly isn't for me.,2
"distracting ads and pop ups, ""open gift"" button at the bottom just links to more of their apps and won't go away, pop up request to rate their app with no option to say no, so here's my rating. cute, simple design, but absolutely ruined by not wanting to open it and see the pop up again.",1
Not useful. Would like a refund.,1
I really wanted to use this app but unfortunately it doesn't scale to the galaxy folds screen size!,2
At first when I downloaded this app it wasn't really good and I deleted it. Then I downloaded it again to give it a second chance and it is much worse you can only make two task if you wanna make more you have to pay for it. Do not download endless you only have two things to do every day or you want to spend your money.,2
"NOT free! And absolutely not with the money. It doesn't function quite as advertised. Used it less than an hour and cancelled, but not eligible for a refund. You'll probably end up with buyer's remorse and be out the money if you purchase this app.",1
"Very basic, from what I've been reading they seem very scammy, you can't have that many reviews saying you signed up for 7 days free and get charged for a year. I've paid for the year which was 18.99p as I was bombarded with the offer, I will continue to use but I can see within a month it will be just sat in my apps not being used if they don't update app and make it more appealing. Really dissatisfied.",2
